"place_id","name","latitude","longitude","people","fieldtrips__fieldtrip_id____001","fieldtrips__fieldtrip_id____002","fieldtrips__fieldtrip_id____003","fieldtrips__fieldtrip_id____004","fieldtrips__fieldtrip_id____005","fieldtrips__fieldtrip_id____006","fieldtrips__fieldtrip_id____007","people__person__person_id","people__person__relationship","people__person__full_name","people__person__last_name","people__person__first_name","people__person__gender","people__person__core_informant","people__person__image","people__person__url","people__person__residence_place","people__person__residence_place__place_id","people__person__residence_place__name","fieldtrips","fieldtrips__fieldtrip_id"
"86","Bragholdt","57.5637","10.1974","null","","","","","","","","","","","","","","","","","","","","null",""
"87","Bramstrup","56.3606","10.1506","null","","","","","","","","","","","","","","","","","","","","","7"
"975","Bramstrup","55.3018","10.396","null","","","","","","","","","","","","","","","","","","","","null",""
"88","Brandrup","55.5213","9.46682","null","","","","","","","","","","","","","","","","","","","","","9"
"91","Brandstrup","56.3645","9.50595","","1","2","6","13","","","","324","told stories here","Mikkel Andersen","Andersen","Mikkel","N/A","null","","data/informants/324.dfl","","91","Brandstrup","",""
"90","Brandstrup","56.2724","10.2813","null","","","","","","","","","","","","","","","","","","","","","7"
"89","Brandstrup","56.0763","9.80891","null","","","","","","","","","","","","","","","","","","","","null",""
"92","Bratbjerg","56.7935","9.66936","null","","","","","","","","","","","","","","","","","","","","null",""
"93","Bratten","57.5169","10.4602","","","","","","","","","182","told stories here","Niels Madsen","Madsen","Niels","m","null","","data/informants/182.dfl","","93","Bratten","","11"
"758","Bredballe","55.7155","9.60583","","","","","","","","","364","told stories here","Lars Frederiksen","Frederiksen","Lars","N/A","null","","data/informants/364.dfl","","758","Bredballe","null",""
"993","Brede","55.0601","8.81679","null","","","","","","","","","","","","","","","","","","","","null",""
"759","Bredstrup","55.5947","9.66543","","","","","","","","","410","told stories here","Ungkarl Mads Jepsen","Jepsen","Mads","N/A","null","","data/informants/410.dfl","","759","Bredstrup","null",""
"94","Bremerholm","55.6775","12.5842","null","","","","","","","","","","","","","","","","","","","","null",""
"95","Brodgård","55.2247","10.0387","null","","","","","","","","","","","","","","","","","","","","null",""
"100","Brorstrup","56.7676","9.6514","null","","","","","","","","","","","","","","","","","","","","null",""
"760","Brovst","57.0943","9.509","","","","","","","","","463","told stories here","Ane Marie Madsdatter","Madsdatter","Ane Marie","N/A","null","","data/informants/463.dfl","","760","Brovst","null",""
"761","Brudager","55.116","10.6748","","","","","","","","","356","told stories here","Martin Dyrholm","Dyrholm","Martin","N/A","null","","data/informants/356.dfl","","761","Brudager","null",""
"101","Bryggers-Knold","56.3625","10.1131","null","","","","","","","","","","","","","","","","","","","","null",""
"83","Brædstrup","55.9737","9.61434","null","","","","","","","","","","","","","","","","","","","","null",""
"84","Brændskov","57.2105","9.90967","null","","","","","","","","","","","","","","","","","","","","","11"
"85","Bræsten","55.6961","9.38447","null","","","","","","","","","","","","","","","","","","","","","9"
"96","Brøndbyvester","55.6481","12.41","null","","","","","","","","","","","","","","","","","","","","null",""
"97","Brønderslev","57.2728","9.9442","null","14","8","","","","","","","","","","","","","","","","","","",""
"98","Brønderup","57.4326","10.0157","null","","","","","","","","","","","","","","","","","","","","null",""
"99","Brøndsted mølle","55.6351","9.66565","null","","","","","","","","","","","","","","","","","","","","null",""
"102","Buderup","56.8641","9.85582","null","","","","","","","","","","","","","","","","","","","","null",""
"103","Buderupholm","56.8583","9.84437","null","","","","","","","","","","","","","","","","","","","","null",""
"104","Bukballe","55.9931","9.947","null","","","","","","","","","","","","","","","","","","","","null",""
"105","Bukkjær","56.7941","9.8098","null","","","","","","","","","","","","","","","","","","","","null",""
"106","Burskov","57.4145","10.3795","null","","","","","","","","","","","","","","","","","","","","null",""
"107","Bygballe","56.3196","10.2014","null","","","","","","","","","","","","","","","","","","","","null",""
"108","Byghøj","57.4162","10.0744","null","","","","","","","","","","","","","","","","","","","","null",""
