"place_id","name","display_name","latitude","longitude","stories__story__story_id","stories__story__fieldtrip_id","stories__story__publication_info","stories__story__informant__id","stories__story__full_name","stories__story__place_recorded__id"
"268","Hobro","Hobro: mentioned in 2 stories","56.6323","9.78429","56","1","DS_II_C_90","150","150 - 2.09 - DS_II_C_90","147"
"","","","","","92","6","JAH_II_201","150","150 - 3.29 - JAH_II_201","147"
"283","Horsens","Horsens: mentioned in 3 stories","55.858","9.86198","56","1","DS_II_C_90","150","150 - 2.09 - DS_II_C_90","147"
"","","","","","433","16","DSnr_IV_657","123","123 - 4.05 - DSnr_IV_657","175"
"","","","","","533","null","DS_V_1454","458","458 - 0.00 - DS_V_1454","398"
"100","Brorstrup","Brorstrup: mentioned in 1 story","56.7676","9.6514","58","1","DS_VII_447","150","150 - 2.11 - DS_VII_447","147"
"556","Smorup","Smorup: mentioned in 2 stories","56.7856","9.63614","58","1","DS_VII_447","150","150 - 2.11 - DS_VII_447","147"
"","","","","","113","5","JAH_VI_738","150","150 - 4.02 - JAH_VI_738","147"
"434","Nørre Sundby","Nørre Sundby: mentioned in 2 stories","57.0594","9.92842","58","1","DS_VII_447","150","150 - 2.11 - DS_VII_447","147"
"","","","","","151","11","DS_IV_1486","241","241 - 2.01 - DS_IV_1486","306"
"661","Tromsø","Tromsø: mentioned in 4 stories","69.651","18.9554","58","1","DS_VII_447","150","150 - 2.11 - DS_VII_447","147"
"","","","","","129","5","Unpub_BJK_418","150","150 - 4.18 - Unpub_BJK_418","147"
"","","","","","408","2","DS_VII_419","123","123 - 3.05 - DS_VII_419","175"
"","","","","","681","null","DS_VII_335","478","478 - 0.00 - DS_VII_335","823"
"660","Troms kirke","Troms kirke: mentioned in 6 stories","69.6485","18.9594","58","1","DS_VII_447","150","150 - 2.11 - DS_VII_447","147"
"","","","","","59","1","DS_VII_437","150","150 - 2.12 - DS_VII_437","147"
"","","","","","713","null","DSnr_VI_534","324","324 - 0.00 - DSnr_VI_534","91"
"","","","","","889","null","DS_VII_304","570","570 - 0.00 - DS_VII_304","950"
"","","","","","796","null","DS_VII_423","396","396 - 0.00 - DS_VII_423","797"
"","","","","","604","null","DS_VII_436","536","536 - 0.00 - DS_VII_436","396"
"1065","Hasseris","Hasseris: mentioned in 1 story","57.0391","9.88591","59","1","DS_VII_437","150","150 - 2.12 - DS_VII_437","147"
"443","Nysum","Nysum: mentioned in 3 stories","56.757","9.77694","64","6","DS_VI_428","150","150 - 3.02 - DS_VI_428","147"
"","","","","","123","5","JAH_V_240","150","150 - 4.12 - JAH_V_240","147"
"","","","","","140","5","JAH_V_66","150","150 - 4.29 - JAH_V_66","147"
"55","Bislev","Bislev: mentioned in 1 story","56.9495","9.6156","65","6","DS_II_G_267","150","150 - 3.03 - DS_II_G_267","147"
"325","Kirketerp","Kirketerp: mentioned in 1 story","56.8914","9.66415","65","6","DS_II_G_267","150","150 - 3.03 - DS_II_G_267","147"
"1066","Lundbæk","Lundbæk: mentioned in 1 story","56.9614","9.60935","66","6","DS_I_576","150","150 - 3.04 - DS_I_576","147"
"568","Sønder Tranders","Sønder Tranders: mentioned in 1 story","57.0143","9.98335","67","6","Æv_0_1360","150","150 - 3.05 - Æv_0_1360","147"
"655","Torsted","Torsted: mentioned in 2 stories","56.8093","9.70946","69","6","JAT_VI_797","150","150 - 3.06 - JAT_VI_797","147"
"","","","","","99","6","JAH_II_331","150","150 - 3.36 - JAH_II_331","147"
"1067","Vester Hornum","Vester Hornum: mentioned in 1 story","56.8341","9.35844","76","6","JAH_II_256","150","150 - 3.13 - JAH_II_256","147"
"597","Store Restrup","Store Restrup: mentioned in 1 story","57.0087","9.77628","80","6","JAH_V_531","150","150 - 3.17 - JAH_V_531","147"
"492","Rold","Rold: mentioned in 8 stories","56.777","9.81524","81","6","JAH_V_535","150","150 - 3.18 - JAH_V_535","147"
"","","","","","91","6","Unpub_BJK_328","150","150 - 3.28 - Unpub_BJK_328","147"
